"Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Segment","Country","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Sales","Quantity","Discount","Profit"
"CA-2016-152156","2016-11-08","2016-11-11",1,"CG-12520",1,"United States",1,1,1,1,"FUR-BO-10001798",1,1,261.96,2,0,41.9136
"CA-2016-152156","2016-11-08","2016-11-11",1,"CG-12520",1,"United States",1,1,1,1,"FUR-CH-10000454",1,2,731.94,3,0,219.582
"CA-2016-138688","2016-06-12","2016-06-16",1,"DV-13045",2,"United States",2,2,2,2,"OFF-LA-10000240",2,3,14.62,2,0,6.8714
"US-2015-108966","2015-10-11","2015-10-18",2,"SO-20335",1,"United States",3,3,3,1,"FUR-TA-10000577",1,4,957.5775,5,0.45,-383.031
"US-2015-108966","2015-10-11","2015-10-18",2,"SO-20335",1,"United States",3,3,3,1,"OFF-ST-10000760",2,5,22.368,2,0.2,2.5164
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"FUR-FU-10001487",1,6,48.86,7,0,14.1694
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"OFF-AR-10002833",2,7,7.28,4,0,1.9656
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"TEC-PH-10002275",3,8,907.152,6,0.2,90.7152
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"OFF-BI-10003910",2,9,18.504,3,0.2,5.7825
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"OFF-AP-10002892",2,10,114.9,5,0,34.47
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"FUR-TA-10001539",1,4,1706.184,9,0.2,85.3091999999998
"CA-2014-115812","2014-06-09","2014-06-14",2,"BH-11710",1,"United States",2,2,4,2,"TEC-PH-10002033",3,8,911.424,4,0.2,68.3568
"CA-2017-114412","2017-04-15","2017-04-20",2,"AA-10480",1,"United States",4,4,5,1,"OFF-PA-10002365",2,11,15.552,3,0.2,5.4432
"CA-2016-161389","2016-12-05","2016-12-10",2,"IM-15070",1,"United States",5,5,6,2,"OFF-BI-10003656",2,9,407.976,3,0.2,132.5922
